datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2009-10-29,SCHISM,slr_base,7,12335.26,11873.22,2348.66,6868.43,505.47,8320.96,0.00,0.00,0.86,6.68,89.00,68.50,-436.97,728.33,661.76,637.63,685.23,520.24,834.70,17428.76,11531.42,9594.59,2703.26,490.76,6828.26,1834.38,298.40,257.05,573.53,700.58,335.93,13505.09,976.02,12477.45,9902.18,11778.94,1229.11,171.25,1491.50,6841.97,9594.25,395.68,520.24,637.63,12015.65,14663.80,14248.34,474.94,396.74,445.55,694.15
2009-10-30,SCHISM,slr_base,7,11801.07,11299.96,2218.05,6130.50,549.62,8438.25,0.00,0.00,2.18,6.51,89.20,53.30,-496.32,618.24,534.95,454.65,676.10,520.24,773.98,17602.21,11674.50,8912.02,2888.83,459.30,6417.07,2076.64,351.97,286.35,608.23,701.83,327.36,12631.24,1020.98,12089.38,9762.04,11985.54,1350.59,176.46,1577.39,6433.35,8910.97,356.45,520.24,454.65,12631.58,13741.71,14992.04,456.76,417.78,454.01,593.82
2009-10-31,SCHISM,slr_base,7,11944.29,11389.68,2068.14,6783.51,498.57,7727.49,0.00,0.00,2.68,6.55,89.40,44.40,-454.17,535.16,447.67,331.00,427.11,520.24,719.02,18824.33,11976.74,8913.93,2952.71,389.08,6339.91,2285.16,429.02,312.57,625.54,664.05,316.43,12069.26,1107.94,11953.05,9575.07,12291.58,1393.93,409.50,1574.82,6354.42,8912.37,375.66,520.24,331.00,13357.00,13854.53,15366.77,449.99,432.20,466.49,500.24
2009-11-01,SCHISM,slr_base,7,11933.06,11392.70,1880.30,6934.54,893.80,7772.62,0.00,0.00,3.37,6.65,89.80,51.90,-841.90,470.29,400.78,352.82,399.08,516.45,585.66,19864.49,12525.14,9145.32,3087.19,400.57,6390.23,2487.22,511.40,359.02,633.88,518.77,312.57,12131.47,1193.50,11914.79,9278.83,12630.40,1473.41,801.79,1624.88,6403.29,9142.71,387.80,516.45,352.82,13939.58,14536.68,15848.08,484.43,437.71,477.89,428.60
2009-11-02,SCHISM,slr_base,7,11893.11,11416.19,1762.46,4428.10,892.14,10119.61,0.00,0.00,4.00,6.70,90.20,60.90,-831.24,414.81,397.17,373.95,427.33,503.19,481.90,20683.86,13117.20,9501.26,3315.18,461.84,6472.52,2627.49,591.52,409.71,639.92,446.61,302.69,12364.31,1254.43,11901.25,9148.09,12958.77,1560.95,168.64,1732.59,6486.65,9498.84,405.46,503.19,373.95,14548.31,15372.22,16578.06,552.58,444.49,493.29,402.27
2009-11-03,SCHISM,slr_base,7,11798.87,11348.31,1725.07,4362.77,866.07,10027.24,0.00,0.00,4.49,6.88,91.60,133.40,-732.67,408.86,399.29,378.00,469.66,500.03,451.69,21217.99,13572.98,9792.22,3517.46,570.18,6491.47,2657.55,650.53,455.28,650.12,427.75,289.58,12578.21,1292.74,11878.56,9202.56,13263.71,1616.77,150.37,1830.26,6505.77,9789.29,416.08,500.03,378.00,15157.79,16048.57,17335.20,621.79,452.96,521.29,399.08
2009-11-04,SCHISM,slr_base,7,11421.36,10961.36,1660.56,4391.26,779.53,9470.19,0.00,0.00,4.82,7.07,90.80,72.00,-707.53,417.57,404.40,378.00,507.83,500.03,458.24,22733.19,14938.57,10861.62,4386.97,909.91,7125.88,2940.55,772.12,524.23,652.82,448.51,279.47,12743.65,1408.89,11991.63,9185.22,13772.59,1841.05,132.74,2187.75,7135.81,10858.55,417.78,500.03,378.00,16033.77,17350.19,18043.25,734.33,473.88,583.57,403.54
2009-11-05,SCHISM,slr_base,7,11687.89,11202.48,1583.72,4357.29,724.18,9638.51,0.00,0.00,4.80,6.96,90.60,91.80,-632.38,420.32,408.01,378.00,531.38,499.82,478.95,22026.08,14420.59,10462.65,4009.13,689.80,6779.65,2792.62,763.87,552.79,660.72,483.38,272.14,12935.43,1382.75,11770.13,10019.94,13838.51,1805.34,129.47,2126.22,6795.50,10459.39,425.63,499.82,378.00,16218.75,17627.27,18757.08,774.39,496.66,621.79,406.52
2009-11-06,SCHISM,slr_base,7,11853.22,11384.15,1543.54,3622.33,643.72,10418.15,0.00,0.00,4.41,6.87,89.80,174.80,-468.92,430.93,419.48,378.86,549.43,493.29,499.40,21654.37,14142.50,9982.42,3741.86,591.73,6554.37,2678.21,750.66,574.57,659.06,512.88,287.86,13036.33,1386.94,11648.88,9978.29,13921.91,1658.26,129.47,1891.61,6567.06,9980.01,433.05,493.29,378.86,16342.82,17700.17,18785.05,808.17,522.76,664.88,420.32
2009-11-07,SCHISM,slr_base,7,12007.03,11343.48,1502.28,4448.48,467.76,9528.59,0.00,0.00,3.71,6.69,88.40,152.00,-315.76,432.41,423.72,378.00,572.06,485.28,533.48,20892.16,13564.12,9499.71,3222.76,423.93,6029.39,2471.64,734.12,578.34,658.23,535.37,311.92,13076.27,1359.78,11392.59,9420.65,13841.01,1530.02,127.95,1621.32,6042.16,9497.63,437.92,485.28,378.00,16200.03,17766.86,18557.94,830.38,554.46,699.13,426.48
